kind,run,trainer,game,net,seed,steps_cfg,steps_done,complete,final_return,batch,n_envs,n_steps,n_minibatches,unroll,vec_workers,vec_threads,double_buffer,worker_device,learner_gpus,precision,compiled,ddp,env_threads,mps,node,cfg_hash,path
run,rr_impala_breakout_s2,impala,breakout,nature,2,100000000,99942400,True,233.436,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,cbb6eab2,outputs/_rerun/rr_impala_breakout_s2
run,rr_impala_caveflyer_s0,impala,caveflyer,nature,0,100000000,99942400,True,3.203,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,7ddf27a6,outputs/_rerun/rr_impala_caveflyer_s0
run,rr_impala_caveflyer_s1,impala,caveflyer,nature,1,100000000,99942400,True,2.917,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,7ddf27a6,outputs/_rerun/rr_impala_caveflyer_s1
run,rr_impala_caveflyer_s2,impala,caveflyer,nature,2,100000000,99942400,True,2.91,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,7ddf27a6,outputs/_rerun/rr_impala_caveflyer_s2
run,rr_impala_coinrun_s0,impala,coinrun,nature,0,100000000,99942400,True,46.042,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,c8126676,outputs/_rerun/rr_impala_coinrun_s0
run,rr_impala_coinrun_s1,impala,coinrun,nature,1,100000000,99942400,True,39.781,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,c8126676,outputs/_rerun/rr_impala_coinrun_s1
run,rr_impala_coinrun_s2,impala,coinrun,nature,2,100000000,99942400,True,69.388,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,c8126676,outputs/_rerun/rr_impala_coinrun_s2
run,rr_impala_flappy_bird_s0,impala,flappy_bird,nature,0,100000000,99942400,True,0.0,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,16d47f6b,outputs/_rerun/rr_impala_flappy_bird_s0
run,rr_impala_flappy_bird_s1,impala,flappy_bird,nature,1,100000000,99942400,True,0.0,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,16d47f6b,outputs/_rerun/rr_impala_flappy_bird_s1
run,rr_impala_flappy_bird_s2,impala,flappy_bird,nature,2,100000000,99942400,True,0.0,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,16d47f6b,outputs/_rerun/rr_impala_flappy_bird_s2
run,rr_impala_plunder_s0,impala,plunder,nature,0,100000000,99942400,True,4.866,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,f812943f,outputs/_rerun/rr_impala_plunder_s0
run,rr_impala_plunder_s1,impala,plunder,nature,1,100000000,99942400,True,4.753,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,f812943f,outputs/_rerun/rr_impala_plunder_s1
run,rr_impala_plunder_s2,impala,plunder,nature,2,100000000,99942400,True,4.811,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,f812943f,outputs/_rerun/rr_impala_plunder_s2
run,rr_impala_seaquest_s0,impala,seaquest,nature,0,100000000,99942400,True,263.355,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,55296ed1,outputs/_rerun/rr_impala_seaquest_s0
run,rr_impala_seaquest_s1,impala,seaquest,nature,1,100000000,99942400,True,287.834,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,55296ed1,outputs/_rerun/rr_impala_seaquest_s1
run,rr_impala_seaquest_s2,impala,seaquest,nature,2,100000000,99942400,True,271.345,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,55296ed1,outputs/_rerun/rr_impala_seaquest_s2
